NC_000853.1	Thermotoga maritima
NC_005027.1	Rhodopirellula baltica
NC_005043.1	Chlamydophila pneumoniae
NC_005070.1	Synechococcus sp.
NC_005071.1	Prochlorococcus marinus
NC_005085.1	Chromobacterium violaceum
NC_005090.1	Wolinella succinogenes
NC_005125.1	Gloeobacter violaceus
NC_005126.1	Photorhabdus laumondii
NC_005126.1	Photorhabdus luminescens
NC_005139.1	Vibrio vulnificus
NC_005140.1	Vibrio vulnificus
NC_005295.2	Ehrlichia ruminantium
NC_005296.1	Rhodopseudomonas palustris
NC_005303.2	Onion yellows
NC_005362.1	Lactobacillus johnsonii
NC_005363.1	Bdellovibrio bacteriovorus
NC_005364.2	Mycoplasma mycoides
NC_005773.3	Pseudomonas savastanoi
NC_005810.1	Yersinia pestis
NC_005823.1	Leptospira interrogans
NC_005835.1	Thermus thermophilus
NC_005945.1	Bacillus anthracis
NC_005955.1	Bartonella quintana
NC_005956.1	Bartonella henselae
NC_005957.1	[Bacillus thuringiensis]
NC_005957.1	Bacillus thuringiensis
NC_005966.1	Acinetobacter sp.
NC_006085.1	Propionibacterium acnes
NC_006086.1	Streptococcus pyogenes
NC_006087.1	Leifsonia xyli
NC_006138.1	Desulfotalea psychrophila
NC_006155.1	Yersinia pseudotuberculosis
NC_006177.1	Symbiobacterium thermophilum
NC_006270.3	Bacillus licheniformis
NC_006274.1	Bacillus cereus
NC_006300.1	Mannheimia succiniciproducens
NC_006322.1	Bacillus licheniformis
NC_006347.1	Bacteroides fragilis
NC_006348.1	Burkholderia mallei
NC_006349.2	Burkholderia mallei
NC_006350.1	Burkholderia pseudomallei
NC_006351.1	Burkholderia pseudomallei
NC_006361.1	Nocardia farcinica
NC_006368.1	Legionella pneumophila
NC_006368.1	Sequence 1
NC_006369.1	Legionella pneumophila
NC_006371.1	Photobacterium profundum
NC_006448.1	Streptococcus thermophilus
NC_006449.1	Streptococcus thermophilus
NC_006461.1	Thermus thermophilus
NC_006510.1	Geobacillus kaustophilus
NC_006510.1	Geobacillus sp.
NC_006511.1	Salmonella enterica
NC_006512.1	Idiomarina loihiensis
NC_006513.1	Azoarcus aromaticum
NC_006526.2	Zymomonas mobilis
NC_006570.2	Francisella tularensis
NC_006576.1	Synechococcus elongatus
NC_006582.1	Bacillus clausii
NC_006677.1	Gluconobacter oxydans
NC_006814.3	Lactobacillus acidophilus
NC_006814.3	Lactobacillus amylovorus
NC_006831.1	Ehrlichia ruminantium
NC_006832.1	Ehrlichia ruminantium
NC_006840.2	Aliivibrio fischeri
NC_006840.2	Vibrio fischeri
NC_006905.1	Salmonella enterica
NC_006932.1	Brucella abortus
NC_006933.1	Brucella abortus
NC_006958.1	Corynebacterium glutamicum
NC_007005.1	Pseudomonas syringae
NC_007086.1	Xanthomonas campestris
NC_007086.1	Xanthomonas translucens
NC_007109.1	Rickettsia felis
NC_007146.2	Haemophilus influenzae
NC_007164.1	Corynebacterium jeikeium
NC_007168.1	Staphylococcus haemolyticus
NC_007204.1	Psychrobacter arcticus
NC_007205.1	Candidatus Pelagibacter
NC_007294.1	Mycoplasma synoviae
NC_007295.1	Mycoplasma hyopneumoniae
NC_007296.1	Streptococcus pyogenes
NC_007297.2	Streptococcus pyogenes
NC_007298.1	Dechloromonas aromatica
NC_007332.1	Mycoplasma hyopneumoniae
NC_007333.1	Thermobifida fusca
NC_007335.2	Prochlorococcus marinus
NC_007347.1	Ralstonia eutropha
NC_007348.1	Ralstonia eutropha
NC_007350.1	Staphylococcus saprophyticus
NC_007354.1	Ehrlichia canis
NC_007356.1	Dehalococcoides sp.
NC_007384.1	Shigella sonnei
NC_007404.1	Thiobacillus denitrificans
NC_007406.1	Nitrobacter winogradskyi
NC_007432.1	Streptococcus agalactiae
NC_007434.1	Burkholderia pseudomallei
NC_007435.1	Burkholderia pseudomallei
NC_007481.1	Pseudoalteromonas haloplanktis
NC_007482.1	Pseudoalteromonas haloplanktis
NC_007484.1	Nitrosococcus oceani
NC_007492.2	Pseudomonas fluorescens
NC_007492.2	Pseudomonas fragi
NC_007493.2	Rhodobacter sphaeroides
NC_007494.2	Rhodobacter sphaeroides
NC_007498.2	Pelobacter carbinolicus
NC_007503.1	Carboxydothermus hydrogenoformans
NC_007508.1	Xanthomonas campestris
NC_007509.1	Burkholderia lata
NC_007510.1	Burkholderia lata
NC_007511.1	Burkholderia lata
NC_007512.1	Chlorobium luteolum
NC_007513.1	Synechococcus sp.
NC_007514.1	Chlorobium chlorochromatii
NC_007516.1	Synechococcus sp.
NC_007517.1	Geobacter metallireducens
NC_007519.1	Desulfovibrio alaskensis
NC_007520.2	Thiomicrospira crunogena
NC_007530.2	Bacillus anthracis
NC_007575.1	Sulfurimonas denitrificans
NC_007576.1	Lactobacillus sakei
NC_007577.1	Prochlorococcus marinus
NC_007604.1	Synechococcus elongatus
NC_007606.1	Shigella dysenteriae
NC_007613.1	Shigella boydii
NC_007614.1	Nitrosospira multiformis
NC_007618.1	Brucella melitensis
NC_007622.1	Staphylococcus aureus
NC_007624.1	Brucella melitensis
NC_007626.1	Magnetospirillum magneticum
NC_007626.1	Magnetospirillum sp.
NC_007633.1	Mycoplasma capricolum
NC_007643.1	Rhodospirillum rubrum
NC_007644.1	Moorella thermoacetica
NC_007645.1	Hahella chejuensis
NC_007650.1	Burkholderia thailandensis
NC_007651.1	Burkholderia thailandensis
NC_007677.1	Salinibacter ruber
NC_007705.1	Xanthomonas oryzae
NC_007712.1	Sodalis glossinidius
NC_007716.1	Aster yellows
NC_007722.1	Erythrobacter litoralis
NC_007759.1	Syntrophus aciditrophicus
NC_007760.1	Anaeromyxobacter dehalogenans
NC_007761.1	Rhizobium etli
NC_007775.1	Synechococcus sp.
NC_007776.1	Synechococcus sp.
NC_007777.1	Frankia casuarinae
NC_007778.1	Rhodopseudomonas palustris
NC_007779.1	Escherichia coli
NC_007793.1	Staphylococcus aureus
NC_007794.1	Novosphingobium aromaticivorans
NC_007795.1	Staphylococcus aureus
NC_007797.1	Anaplasma phagocytophilum
NC_007799.1	Ehrlichia chaffeensis
NC_007802.1	Jannaschia sp.
NC_007880.1	Francisella tularensis
NC_007899.1	Chlamydia felis
NC_007907.1	Desulfitobacterium hafniense
NC_007908.1	Rhodoferax ferrireducens
NC_007912.1	Saccharophagus degradans
NC_007925.1	Rhodopseudomonas palustris
NC_007929.1	Lactobacillus salivarius
NC_007940.1	Rickettsia bellii
NC_007946.1	Escherichia coli
NC_007947.1	Methylobacillus flagellatus
NC_007948.1	Polaromonas sp.
NC_007951.1	Paraburkholderia xenovorans
NC_007952.1	Paraburkholderia xenovorans
NC_007953.1	Paraburkholderia xenovorans
NC_007954.1	Shewanella denitrificans
NC_007958.1	Rhodopseudomonas palustris
NC_007963.1	Chromohalobacter salexigens
NC_007964.1	Nitrobacter hamburgensis
NC_007969.1	Psychrobacter cryohalolentis
NC_007973.1	Cupriavidus metallidurans
NC_008009.1	Candidatus Koribacter
NC_008021.1	Streptococcus pyogenes
NC_008022.1	Streptococcus pyogenes
NC_008023.1	Streptococcus pyogenes
NC_008024.1	Streptococcus pyogenes
NC_008025.1	Deinococcus geothermalis
NC_008027.1	Pseudomonas entomophila
NC_008044.1	Ruegeria sp.
NC_008048.1	Sphingopyxis alaskensis
NC_008054.1	Lactobacillus delbrueckii
NC_008060.1	Burkholderia cenocepacia
NC_008061.1	Burkholderia cenocepacia
NC_008062.1	Burkholderia cenocepacia
NC_008095.1	Myxococcus fulvus
NC_008095.1	Myxococcus xanthus
NC_008146.1	Mycobacterium sp.
NC_008148.1	Rubrobacter xylanophilus
NC_008149.1	Yersinia pestis
NC_008150.1	Yersinia pestis
NC_008209.1	Roseobacter denitrificans
NC_008228.1	Pseudoalteromonas atlantica
NC_008229.1	Helicobacter acinonychis
NC_008245.1	Francisella tularensis
NC_008253.1	Escherichia coli
NC_008254.1	Chelativorans sp.
NC_008255.1	Cytophaga hutchinsonii
NC_008258.1	Shigella flexneri
NC_008260.1	Alcanivorax borkumensis
NC_008261.1	Clostridium perfringens
NC_008268.1	Rhodococcus jostii
NC_008278.1	Frankia alni
NC_008309.1	Haemophilus somnus
NC_008312.1	Trichodesmium erythraeum
NC_008313.1	Ralstonia eutropha
NC_008314.1	Ralstonia eutropha
NC_008319.1	Synechococcus sp.
NC_008321.1	Shewanella sp.
NC_008322.1	Shewanella sp.
NC_008340.1	Alkalilimnicola ehrlichii
NC_008344.1	Nitrosomonas eutropha
NC_008345.1	Shewanella frigidimarina
NC_008346.1	Syntrophomonas wolfei
NC_008347.1	Maricaulis maris
NC_008358.1	Hyphomonas neptunium
NC_008369.1	Francisella tularensis
NC_008380.1	Rhizobium leguminosarum
NC_008390.1	Burkholderia ambifaria
NC_008391.1	Burkholderia ambifaria
NC_008392.1	Burkholderia ambifaria
NC_008435.1	Rhodopseudomonas palustris
NC_008463.1	Pseudomonas aeruginosa
NC_008497.1	Lactobacillus brevis
NC_008508.1	Leptospira borgpetersenii
NC_008509.1	Leptospira borgpetersenii
NC_008510.1	Leptospira borgpetersenii
NC_008511.1	Leptospira borgpetersenii
NC_008525.1	Pediococcus pentosaceus
NC_008526.1	Lactobacillus paracasei
NC_008527.1	Lactococcus lactis
NC_008528.1	Oenococcus oeni
NC_008529.1	Lactobacillus delbrueckii
NC_008530.1	Lactobacillus gasseri
NC_008531.1	Leuconostoc mesenteroides
NC_008532.1	Streptococcus thermophilus
NC_008536.1	Candidatus Solibacter
NC_008541.1	Arthrobacter sp.
NC_008542.1	Burkholderia cenocepacia
NC_008543.1	Burkholderia cenocepacia
NC_008544.1	Burkholderia cenocepacia
NC_008554.1	Syntrophobacter fumaroxidans
NC_008555.1	Listeria welshimeri
NC_008563.1	Escherichia coli
NC_008570.1	Aeromonas hydrophila
NC_008576.1	Magnetococcus marinus
NC_008577.1	Shewanella sp.
NC_008578.1	Acidothermus cellulolyticus
NC_008593.1	Clostridium novyi
NC_008595.1	Mycobacterium avium
NC_008596.1	Mycobacterium smegmatis
NC_008599.1	Campylobacter fetus
NC_008600.1	Bacillus thuringiensis
NC_008601.1	Francisella tularensis
NC_008609.1	Pelobacter propionicus
NC_008610.1	Candidatus Ruthia
NC_008618.1	Bifidobacterium adolescentis
NC_008639.1	Chlorobium phaeobacteroides
NC_008686.1	Paracoccus denitrificans
NC_008687.1	Paracoccus denitrificans
NC_008699.1	Nocardioides sp.
NC_008700.1	Shewanella amazonensis
NC_008702.1	Azoarcus sp.
NC_008705.1	Mycobacterium sp.
NC_008709.1	Psychromonas ingrahamii
NC_008710.1	Borrelia turicatae
NC_008711.1	Paenarthrobacter aurescens
NC_008726.1	Mycobacterium vanbaalenii
NC_008740.1	Marinobacter hydrocarbonoclasticus
NC_008750.1	Shewanella sp.
NC_008751.1	Desulfovibrio vulgaris
NC_008752.1	Acidovorax citrulli
NC_008767.1	Neisseria meningitidis
NC_008769.1	Mycobacterium bovis
NC_008781.1	Polaromonas naphthalenivorans
NC_008782.1	Acidovorax sp.
NC_008783.1	Bartonella bacilliformis
NC_008784.1	Burkholderia mallei
NC_008785.1	Burkholderia mallei
NC_008786.1	Verminephrobacter eiseniae
NC_008787.1	Campylobacter jejuni
NC_008789.1	Halorhodospira halophila
NC_008800.1	Yersinia enterocolitica
NC_008816.1	Prochlorococcus marinus
NC_008819.1	Prochlorococcus marinus
NC_008825.1	Methylibium petroleiphilum
NC_008835.1	Burkholderia mallei
NC_008836.1	Burkholderia mallei
NC_009004.1	Lactococcus lactis
NC_009009.1	Streptococcus sanguinis
NC_009012.1	Ruminiclostridium thermocellum
NC_009049.1	Rhodobacter sphaeroides
NC_009050.1	Rhodobacter sphaeroides
NC_009052.1	Shewanella baltica
NC_009053.1	Actinobacillus pleuropneumoniae
NC_009074.1	Burkholderia pseudomallei
NC_009075.1	Burkholderia pseudomallei
NC_009076.1	Burkholderia pseudomallei
NC_009077.1	Mycobacterium sp.
NC_009078.1	Burkholderia pseudomallei
NC_009079.1	Burkholderia mallei
NC_009080.1	Burkholderia mallei
NC_009089.1	Clostridioides difficile
NC_009092.1	Shewanella loihica
NC_009138.1	Herminiimonas arsenicoxydans
NC_009142.1	Saccharopolyspora erythraea
NC_009253.1	Desulfotomaculum reducens
NC_009257.1	Francisella tularensis
NC_009328.1	Geobacillus thermodenitrificans
NC_009332.1	Streptococcus pyogenes
NC_009337.1	Chlorobium phaeovibrioides
NC_009338.1	Mycobacterium gilvum
NC_009342.1	Corynebacterium glutamicum
NC_009348.1	Aeromonas salmonicida
NC_009379.1	Polynucleobacter asymbioticus
NC_009380.1	Salinispora tropica
NC_009381.1	Yersinia pestis
NC_009428.1	Rhodobacter sphaeroides
NC_009434.1	Pseudomonas stutzeri
NC_009436.1	Enterobacter sp.
NC_009437.1	Caldicellulosiruptor saccharolyticus
NC_009438.1	Shewanella putrefaciens
NC_009439.1	Pseudomonas mendocina
NC_009441.1	Flavobacterium johnsoniae
NC_009445.1	Bradyrhizobium sp.
NC_009446.1	Dichelobacter nodosus
NC_009455.1	Dehalococcoides mccartyi
NC_009456.1	Vibrio cholerae
NC_009457.1	Vibrio cholerae
NC_009480.1	Clavibacter michiganensis
NC_009481.1	Synechococcus WH7803
NC_009483.1	Geobacter uraniireducens
NC_009484.1	Acidiphilium cryptum
NC_009485.1	Bradyrhizobium sp.
NC_009486.1	Thermotoga petrophila
NC_009487.1	Staphylococcus aureus
NC_009488.1	Orientia tsutsugamushi
NC_009494.2	Legionella pneumophila
NC_009495.1	Clostridium botulinum
NC_009497.1	Mycoplasma agalactiae
NC_009504.1	Brucella ovis
NC_009505.1	Brucella ovis
NC_009511.1	Sphingomonas wittichii
NC_009512.1	Pseudomonas putida
NC_009513.1	Lactobacillus reuteri
NC_009523.1	Roseiflexus sp.
NC_009524.1	Psychrobacter sp.
NC_009525.1	Mycobacterium tuberculosis
NC_009565.1	Mycobacterium tuberculosis
NC_009613.3	Flavobacterium psychrophilum
NC_009614.1	Bacteroides vulgatus
NC_009615.1	Parabacteroides distasonis
NC_009616.1	Thermosipho melanesiensis
NC_009617.1	Clostridium beijerinckii
NC_009632.1	Staphylococcus aureus
NC_009633.1	Alkaliphilus metalliredigens
NC_009636.1	Sinorhizobium medicae
NC_009641.1	Staphylococcus aureus
NC_009648.1	Klebsiella pneumoniae
NC_009654.1	Marinomonas sp.
NC_009655.1	Actinobacillus succinogenes
NC_009656.1	Pseudomonas aeruginosa
NC_009659.1	Janthinobacterium sp.
NC_009662.1	Nitratiruptor sp.
NC_009663.1	Sulfurovum sp.
NC_009664.2	Kineococcus radiotolerans
NC_009665.1	Shewanella baltica
NC_009667.1	Ochrobactrum anthropi
NC_009668.1	Ochrobactrum anthropi
NC_009674.1	Bacillus cytotoxicus
NC_009675.1	Anaeromyxobacter sp.
NC_009697.1	Clostridium botulinum
NC_009698.1	Clostridium botulinum
NC_009699.1	Clostridium botulinum
NC_009706.1	Clostridium kluyveri
NC_009708.1	Yersinia pseudotuberculosis
NC_009714.1	Campylobacter hominis
NC_009715.2	Campylobacter curvus
NC_009718.1	Fervidobacterium nodosum
NC_009719.1	Parvibaculum lavamentivorans
NC_009720.1	Xanthobacter autotrophicus
NC_009725.1	Bacillus amyloliquefaciens
NC_009725.1	Bacillus velezensis
NC_009727.1	Coxiella burnetii
NC_009749.1	Francisella tularensis
NC_009767.1	Roseiflexus castenholzii
NC_009778.1	Cronobacter sakazakii
NC_009782.1	Staphylococcus aureus
NC_009783.1	Vibrio campbellii
NC_009784.1	Vibrio campbellii
NC_009785.1	Streptococcus gordonii
NC_009792.1	Citrobacter koseri
NC_009800.1	Escherichia coli
NC_009801.1	Escherichia coli
NC_009802.2	Campylobacter concisus
NC_009828.1	Pseudothermotoga lettingae
NC_009831.1	Shewanella sediminis
NC_009832.1	Serratia proteamaculans
NC_009839.1	Campylobacter jejuni
NC_009840.1	Prochlorococcus marinus
NC_009848.4	Bacillus pumilus
NC_009850.1	Arcobacter butzleri
NC_009879.1	Rickettsia canadensis
NC_009881.1	Rickettsia akari
NC_009882.1	Rickettsia rickettsii
NC_009883.1	Rickettsia bellii
NC_009900.1	Rickettsia massiliae
NC_009901.1	Shewanella pealeana
NC_009921.1	Frankia sp.
NC_009922.1	Alkaliphilus oremlandii
NC_009925.1	Acaryochloris marina
NC_009937.1	Azorhizobium caulinodans
NC_009943.1	Desulfococcus oleovorans
NC_009952.1	Dinoroseobacter shibae
NC_009953.1	Salinispora arenicola
NC_009997.1	Shewanella baltica
NC_010001.1	Lachnoclostridium phytofermentans
NC_010002.1	Delftia acidovorans
NC_010003.1	Petrotoga mobilis
NC_010067.1	Salmonella enterica
NC_010079.1	Staphylococcus aureus
NC_010080.1	Lactobacillus helveticus
NC_010084.1	Burkholderia multivorans
NC_010086.1	Burkholderia multivorans
NC_010087.1	Burkholderia multivorans
NC_010102.1	Salmonella enterica
NC_010103.1	Brucella canis
NC_010104.1	Brucella canis
NC_010117.1	Coxiella burnetii
NC_010120.1	Neisseria meningitidis
NC_010125.1	Gluconacetobacter diazotrophicus
NC_010159.1	Yersinia pestis
NC_010161.1	Bartonella tribocorum
NC_010162.1	Sorangium cellulosum
NC_010163.1	Acholeplasma laidlawii
NC_010167.1	Brucella suis
NC_010168.1	Renibacterium salmoninarum
NC_010169.1	Brucella suis
NC_010170.1	Bordetella petrii
NC_010172.1	Methylobacterium extorquens
NC_010175.1	Chloroflexus aurantiacus
NC_010184.1	Bacillus weihenstephanensis
NC_010263.3	Rickettsia rickettsii
NC_010278.1	Actinobacillus pleuropneumoniae
NC_010280.2	Chlamydia trachomatis
NC_010287.1	Chlamydia trachomatis
NC_010296.1	Microcystis aeruginosa
NC_010320.1	Thermoanaerobacter sp.
NC_010321.1	Thermoanaerobacter pseudethanolicus
NC_010322.1	Pseudomonas putida
NC_010334.1	Shewanella halifaxensis
NC_010336.1	Francisella philomiragia
NC_010337.2	Heliobacterium modesticaldum
NC_010338.1	Caulobacter sp.
NC_010376.1	Finegoldia magna
NC_010380.1	Streptococcus pneumoniae
NC_010397.1	Mycobacterium abscessus
NC_010407.1	Clavibacter michiganensis
NC_010410.1	Acinetobacter baumannii
NC_010424.1	Candidatus Desulforudis
NC_010465.1	Yersinia pseudotuberculosis
NC_010468.1	Escherichia coli
NC_010471.1	Leuconostoc citreum
NC_010473.1	Escherichia coli
NC_010475.1	Synechococcus sp.
NC_010498.1	Escherichia coli
NC_010501.1	Pseudomonas putida
NC_010503.1	Ureaplasma parvum
NC_010505.1	Methylobacterium radiotolerans
NC_010506.1	Shewanella woodyi
NC_010508.1	Burkholderia cenocepacia
NC_010511.1	Methylobacterium sp.
NC_010512.1	Burkholderia cenocepacia
NC_010513.1	Xylella fastidiosa
NC_010515.1	Burkholderia cenocepacia
NC_010516.1	Clostridium botulinum
NC_010519.1	Haemophilus somnus
NC_010520.1	Clostridium botulinum
NC_010524.1	Leptothrix cholodnii
NC_010531.1	Polynucleobacter necessarius
NC_010544.1	Candidatus Phytoplasma
NC_010545.1	Corynebacterium urealyticum
NC_010546.1	Cyanothece sp.
NC_010547.1	Cyanothece sp.
NC_010551.1	Burkholderia ambifaria
NC_010552.1	Burkholderia ambifaria
NC_010554.1	Proteus mirabilis
NC_010556.1	Exiguobacterium sibiricum
NC_010557.1	Burkholderia ambifaria
NC_010571.1	Opitutus terrae
NC_010572.1	Streptomyces globisporus
NC_010572.1	Streptomyces griseus
NC_010577.1	Xylella fastidiosa
NC_010581.1	Beijerinckia indica
NC_010582.1	Streptococcus pneumoniae
NC_010602.1	Leptospira biflexa
NC_010609.1	Lactobacillus reuteri
NC_010610.1	Lactobacillus fermentum
NC_010611.1	Acinetobacter baumannii
NC_010612.1	Mycobacterium marinum
NC_010617.1	Kocuria rhizophila
NC_010622.1	Paraburkholderia phymatum
NC_010623.1	Paraburkholderia phymatum
NC_010628.1	Nostoc punctiforme
NC_010634.1	Yersinia pseudotuberculosis
NC_010644.1	Elusimicrobium minutum
NC_010645.1	Bordetella avium
NC_010655.1	Akkermansia muciniphila
NC_010674.1	Clostridium botulinum
NC_010676.1	Paraburkholderia phytofirmans
NC_010677.1	Francisella tularensis
NC_010678.1	Ralstonia pickettii
NC_010681.1	Paraburkholderia phytofirmans
NC_010682.1	Ralstonia pickettii
NC_010688.1	Xanthomonas campestris
NC_010694.1	Erwinia tasmaniensis
NC_010698.2	Helicobacter pylori
NC_010717.2	Xanthomonas oryzae
NC_010718.1	Natranaerobius thermophilus
NC_010723.1	Clostridium botulinum
NC_010725.1	Methylobacterium populi
NC_010729.1	Porphyromonas gingivalis
NC_010730.1	Sulfurihydrogenibium sp.
NC_010740.1	Brucella abortus
NC_010742.1	Brucella abortus
NC_010793.1	Orientia tsutsugamushi
NC_010794.1	Methylacidiphilum infernorum
NC_010801.1	Burkholderia multivorans
NC_010803.1	Chlorobium limicola
NC_010804.1	Burkholderia multivorans
NC_010805.1	Burkholderia multivorans
NC_010814.1	Geobacter lovleyi
NC_010816.1	Bifidobacterium longum
NC_010830.1	Candidatus Amoebophilus
NC_010831.1	Chlorobium phaeobacteroides
NC_010842.1	Leptospira biflexa
NC_010939.1	Actinobacillus pleuropneumoniae
NC_010943.1	Stenotrophomonas maltophilia
NC_010994.1	Rhizobium etli
NC_010995.1	Cellvibrio japonicus
NC_010999.1	Lactobacillus casei
NC_011000.1	Burkholderia cenocepacia
NC_011001.1	Burkholderia cenocepacia
NC_011002.1	Burkholderia cenocepacia
NC_011004.1	Rhodopseudomonas palustris
NC_011027.1	Chlorobaculum parvum
NC_011035.1	Neisseria gonorrhoeae
NC_011047.1	Candidatus Phytoplasma
NC_011059.1	Prosthecochloris aestuarii
NC_011060.1	Pelodictyon phaeoclathratiforme
NC_011071.1	Stenotrophomonas maltophilia
NC_011072.1	Streptococcus pneumoniae
NC_011080.1	Salmonella enterica
NC_011083.1	Salmonella enterica
NC_011094.1	Salmonella enterica
NC_011134.1	Streptococcus equi
NC_011138.3	Alteromonas mediterranea
NC_011144.1	Phenylobacterium zucineum
NC_011145.1	Anaeromyxobacter sp.
NC_011146.1	Geobacter bemidjiensis
NC_011147.1	Salmonella enterica
NC_011149.1	Salmonella enterica
NC_011205.1	Salmonella enterica
NC_011206.1	Acidithiobacillus ferrooxidans
NC_011229.1	Borrelia duttonii
NC_011244.1	Borrelia recurrentis
NC_011274.1	Salmonella enterica
NC_011283.1	Klebsiella pneumoniae
NC_011294.1	Salmonella enterica
NC_011295.1	Coprothermobacter proteolyticus
NC_011296.1	Thermodesulfovibrio yellowstonii
NC_011312.1	Aliivibrio salmonicida
NC_011313.1	Aliivibrio salmonicida
