#ACCESSION	ORGANISM	START	END	DETECTION
NC_009655.1	Actinobacillus succinogenes	1361623	1402671	Islander
NC_009655.1	Actinobacillus succinogenes	30632	33549	Islander
NC_017093.1	Actinoplanes missouriensis	7240559	7287468	Islander
NC_017803.1	Actinoplanes sp.	1238241	1241292	Islander
NC_017803.1	Actinoplanes sp.	164842	252720	Islander
NC_017803.1	Actinoplanes sp.	252721	262091	Islander
NC_017803.1	Actinoplanes sp.	6922285	6935927	Islander
NC_013093.1	Actinosynnema mirum	1223404	1238181	Islander
NC_013093.1	Actinosynnema mirum	1416440	1430522	Islander
NC_013093.1	Actinosynnema mirum	186749	205784	Islander
NC_013093.1	Actinosynnema mirum	4538369	4555719	Islander
NC_013093.1	Actinosynnema mirum	632778	662469	Islander
NC_013093.1	Actinosynnema mirum	6594165	6660111	Islander
NC_017964.1	Advenella kashmirensis	2283048	2310655	Islander
NC_017964.1	Advenella kashmirensis	2452375	2467497	Islander
NC_017964.1	Advenella kashmirensis	3574856	3587477	Islander
NC_018013.1	Aequorivita sublithincola	1050518	1079352	Islander
NC_009348.1	Aeromonas salmonicida	1635577	1673188	Islander
NC_009348.1	Aeromonas salmonicida	3746347	3750508	Islander
NC_009348.1	Aeromonas salmonicida	4119150	4155924	Islander
NC_009348.1	Aeromonas salmonicida	456714	468191	Islander
NC_015424.1	Aeromonas veronii	2751633	2792119	Islander
NC_015424.1	Aeromonas veronii	3520532	3560109	Islander
NC_012913.1	Aggregatibacter aphrophilus	1040806	1064093	Islander
NC_012913.1	Aggregatibacter aphrophilus	2254928	2263127	Islander
NC_003062.2	Agrobacterium fabrum	430710	460941	Islander
NC_003063.2	Agrobacterium fabrum	926799	948189	Islander
NC_015183.1	Agrobacterium sp.	1754367	1772382	Islander
NC_011985.1	Agrobacterium radiobacter	1804456	1845496	Islander
NC_011985.1	Agrobacterium radiobacter	2898465	2924774	Islander
NC_011985.1	Agrobacterium radiobacter	3386472	3396482	Islander
NC_011989.1	Agrobacterium vitis	1368259	1384299	Islander
NC_011989.1	Agrobacterium vitis	1610951	1654757	Islander
NC_011989.1	Agrobacterium vitis	1879124	1930253	Islander
NC_011989.1	Agrobacterium vitis	2271238	2309917	Islander
NC_011989.1	Agrobacterium vitis	2815139	2837537	Islander
NC_011989.1	Agrobacterium vitis	559230	611815	Islander
NC_011989.1	Agrobacterium vitis	731656	749217	Islander
NC_011988.1	Agrobacterium vitis	1167716	1208959	Islander
NC_010655.1	Akkermansia muciniphila	1611324	1643785	Islander
NC_008260.1	Alcanivorax borkumensis	2352245	2368127	Islander
NC_008260.1	Alcanivorax borkumensis	330095	332412	Islander
NC_018691.1	Alcanivorax dieselolei	2214742	2345281	Islander
NC_018691.1	Alcanivorax dieselolei	3503736	3567485	Islander
NC_014910.1	Alicycliphilus denitrificans	1316784	1353607	Islander
NC_014910.1	Alicycliphilus denitrificans	1552154	1555707	Islander
NC_014910.1	Alicycliphilus denitrificans	1646061	1653059	Islander
NC_014910.1	Alicycliphilus denitrificans	1711595	1772387	Islander
NC_014910.1	Alicycliphilus denitrificans	1772388	1785658	Islander
NC_014910.1	Alicycliphilus denitrificans	975235	982816	Islander
NC_015422.1	Alicycliphilus denitrificans	1926048	2066818	Islander
NC_015422.1	Alicycliphilus denitrificans	2813295	2818314	Islander
NC_015422.1	Alicycliphilus denitrificans	2818315	2952193	Islander
NC_015422.1	Alicycliphilus denitrificans	3188730	3213735	Islander
NC_015422.1	Alicycliphilus denitrificans	3308553	3314787	Islander
NC_015422.1	Alicycliphilus denitrificans	3373297	3378211	Islander
NC_015422.1	Alicycliphilus denitrificans	3421126	3549684	Islander
NC_015422.1	Alicycliphilus denitrificans	3586746	3596803	Islander
NC_015422.1	Alicycliphilus denitrificans	4504212	4554878	Islander
NC_015422.1	Alicycliphilus denitrificans	916613	928078	Islander
NC_013205.1	Alicyclobacillus acidocaldarius	1130751	1244204	Islander
NC_013205.1	Alicyclobacillus acidocaldarius	2612666	2625774	Islander
NC_006840.2	Vibrio fischeri	2237789	2270982	Islander
NC_018011.1	Alistipes finegoldii	1027541	1116248	Islander
NC_018011.1	Alistipes finegoldii	2011654	2056806	Islander
NC_018011.1	Alistipes finegoldii	2090867	2147118	Islander
NC_018011.1	Alistipes finegoldii	2147119	2179831	Islander
NC_018011.1	Alistipes finegoldii	2376558	2492738	Islander
NC_018011.1	Alistipes finegoldii	293897	311233	Islander
NC_018011.1	Alistipes finegoldii	2947311	2959671	Islander
NC_018011.1	Alistipes finegoldii	521013	540104	Islander
NC_018011.1	Alistipes finegoldii	712903	912800	Islander
NC_008340.1	Alkalilimnicola ehrlichii	1239124	1248190	Islander
NC_008340.1	Alkalilimnicola ehrlichii	1742276	1774557	Islander
NC_008340.1	Alkalilimnicola ehrlichii	687360	697050	Islander
NC_008340.1	Alkalilimnicola ehrlichii	878803	887798	Islander
NC_009633.1	Alkaliphilus metalliredigens	2847520	2867824	Islander
NC_009922.1	Alkaliphilus oremlandii	1146282	1225041	Islander
NC_009922.1	Alkaliphilus oremlandii	1916315	1923417	Islander
NC_013851.1	Allochromatium vinosum	1033918	1044641	Islander
NC_013851.1	Allochromatium vinosum	1953993	1967298	Islander
NC_013851.1	Allochromatium vinosum	2722622	2732168	Islander
NC_018632.1	Alteromonas macleodii	896666	916195	Islander
NC_018678.1	Alteromonas macleodii	2388753	2410302	Islander
NC_018692.1	Alteromonas macleodii	2280957	2304499	Islander
NC_018692.1	Alteromonas macleodii	266147	280690	Islander
NC_018692.1	Alteromonas macleodii	280691	340198	Islander
NC_018679.1	Alteromonas macleodii	1481104	1491733	Islander
NC_018679.1	Alteromonas macleodii	1720769	1783424	Islander
NC_018679.1	Alteromonas macleodii	270538	313009	Islander
NC_014011.1	Aminobacterium colombiense	1131066	1170141	Islander
NC_014011.1	Aminobacterium colombiense	986694	992919	Islander
NC_013385.1	Ammonifex degensii	1194095	1201838	Islander
NC_013385.1	Ammonifex degensii	14375	22751	Islander
NC_013385.1	Ammonifex degensii	1997739	2005519	Islander
NC_013385.1	Ammonifex degensii	420685	429003	Islander
NC_018704.1	Amphibacillus xylanus	189278	225286	Islander
NC_014318.1	Amycolatopsis mediterranei	12028	25862	Islander
NC_014318.1	Amycolatopsis mediterranei	367546	390831	Islander
NC_014318.1	Amycolatopsis mediterranei	5592562	5603983	Islander
NC_014318.1	Amycolatopsis mediterranei	6405245	6469415	Islander
NC_014318.1	Amycolatopsis mediterranei	6807041	6832211	Islander
NC_014318.1	Amycolatopsis mediterranei	8581913	8622833	Islander
NC_014318.1	Amycolatopsis mediterranei	9610030	9634272	Islander
NC_017186.1	Amycolatopsis mediterranei	12028	25862	Islander
NC_017186.1	Amycolatopsis mediterranei	367549	390844	Islander
NC_017186.1	Amycolatopsis mediterranei	5592603	5604025	Islander
NC_017186.1	Amycolatopsis mediterranei	6405288	6469459	Islander
NC_017186.1	Amycolatopsis mediterranei	6807086	6832255	Islander
NC_017186.1	Amycolatopsis mediterranei	8581969	8622889	Islander
NC_017186.1	Amycolatopsis mediterranei	9610090	9634332	Islander
NC_018266.1	Amycolatopsis mediterranei	12028	26714	Islander
NC_018266.1	Amycolatopsis mediterranei	375978	399273	Islander
NC_018266.1	Amycolatopsis mediterranei	5601784	5613710	Islander
NC_018266.1	Amycolatopsis mediterranei	6415215	6479385	Islander
NC_018266.1	Amycolatopsis mediterranei	6817012	6842180	Islander
NC_018266.1	Amycolatopsis mediterranei	8591886	8632806	Islander
NC_018266.1	Amycolatopsis mediterranei	9620062	9644304	Islander
NC_013171.1	Anaerococcus prevotii	896726	937815	Islander
NC_014960.1	Anaerolinea thermophila	2366138	2424748	Islander
NC_014960.1	Anaerolinea thermophila	2623422	2673991	Islander
NC_007760.1	Anaeromyxobacter dehalogenans	1684662	1693691	Islander
NC_007760.1	Anaeromyxobacter dehalogenans	2097595	2107997	Islander
NC_007760.1	Anaeromyxobacter dehalogenans	4065091	4089001	Islander
NC_011891.1	Anaeromyxobacter dehalogenans	1228970	1306260	Islander
NC_011891.1	Anaeromyxobacter dehalogenans	1442412	1467101	Islander
NC_011891.1	Anaeromyxobacter dehalogenans	4113729	4121685	Islander
NC_009675.1	Anaeromyxobacter sp.	1224193	1232422	Islander
NC_009675.1	Anaeromyxobacter sp.	3074482	3084087	Islander
NC_009675.1	Anaeromyxobacter sp.	3238006	3243263	Islander
NC_009675.1	Anaeromyxobacter sp.	3861141	3901346	Islander
NC_011145.1	Anaeromyxobacter sp.	2262697	2273320	Islander
NC_011567.1	Anoxybacillus flavithermus	2033445	2050341	Islander
NC_014218.1	Arcanobacterium haemolyticum	1818048	1837403	Islander
NC_009850.1	Arcobacter butzleri	1324574	1351472	Islander
NC_009850.1	Arcobacter butzleri	1703328	1719279	Islander
NC_009850.1	Arcobacter butzleri	1876452	1882164	Islander
NC_017187.1	Arcobacter butzleri	1263906	1288034	Islander
NC_014166.1	Arcobacter nitrofigilis	168536	179993	Islander
NC_014166.1	Arcobacter nitrofigilis	1689723	1703878	Islander
NC_017192.1	Arcobacter sp.	1301725	1354432	Islander
NC_017192.1	Arcobacter sp.	1372585	1392860	Islander
NC_017192.1	Arcobacter sp.	2035139	2039420	Islander
NC_017192.1	Arcobacter sp.	2214772	2222146	Islander
NC_006513.1	Azoarcus aromaticum	119948	132511	Islander
NC_006513.1	Azoarcus aromaticum	1383786	1493820	Islander
NC_006513.1	Azoarcus aromaticum	139829	307201	Islander
NC_006513.1	Azoarcus aromaticum	1583353	1599558	Islander
NC_006513.1	Azoarcus aromaticum	4265000	13255	Islander
NC_006513.1	Azoarcus aromaticum	429675	440723	Islander
NC_006513.1	Azoarcus aromaticum	792391	802714	Islander
NC_008541.1	Arthrobacter sp.	1509184	1523457	Islander
NC_013203.1	Atopobium parvulum	631892	665423	Islander
NC_008702.1	Azoarcus sp.	2045976	2056768	Islander
NC_008702.1	Azoarcus sp.	823516	832461	Islander
NC_009937.1	Azorhizobium caulinodans	1738110	1744530	Islander
NC_009937.1	Azorhizobium caulinodans	4346094	4433883	Islander
NC_009937.1	Azorhizobium caulinodans	934653	974579	Islander
NC_016616.1	Dechlorosoma suillum	139961	166308	Islander
NC_013854.1	Azospirillum sp.	1582344	1595547	Islander
NC_013854.1	Azospirillum sp.	1692555	1699287	Islander
NC_013854.1	Azospirillum sp.	2157716	2177498	Islander
NC_013854.1	Azospirillum sp.	2873258	2880284	Islander
NC_013854.1	Azospirillum sp.	2883806	2919906	Islander
NC_013854.1	Azospirillum sp.	51816	145219	Islander
NC_016622.1	Azospirillum lipoferum	1855720	1958772	Islander
NC_016622.1	Azospirillum lipoferum	408329	415212	Islander
NC_012560.1	Azotobacter vinelandii	2041790	2046797	Islander
NC_012560.1	Azotobacter vinelandii	5026471	5054009	Islander
NC_017188.1	Bacillus amyloliquefaciens	2197471	2247160	Islander
NC_017188.1	Bacillus amyloliquefaciens	2904104	2941870	Islander
NC_014551.1	Bacillus amyloliquefaciens	2937322	2975088	Islander
NC_014551.1	Bacillus amyloliquefaciens	924991	991776	Islander
NC_017191.1	Bacillus amyloliquefaciens	2199506	2249195	Islander
NC_017191.1	Bacillus amyloliquefaciens	2906150	2943916	Islander
NC_017912.1	Bacillus amyloliquefaciens	1155581	1191544	Islander
NC_014639.1	Bacillus atrophaeus	21321	31552	Islander
NC_014639.1	Bacillus atrophaeus	31553	36836	Islander
NC_014639.1	Bacillus atrophaeus	36837	41400	Islander
NC_014639.1	Bacillus atrophaeus	4164659	21320	Islander
NC_014829.1	Bacillus cellulosilyticus	2907687	2942674	Islander
NC_006274.1	Bacillus cereus	4333591	4343416	Islander
NC_011969.1	Bacillus cereus	4177304	4192413	Islander
NC_011969.1	Bacillus cereus	570718	585230	Islander
NC_011725.1	Bacillus cereus	533058	547811	Islander
NC_011658.1	Bacillus cereus	4881483	4896748	Islander
NC_011773.1	Bacillus cereus	1285688	1296832	Islander
NC_012472.1	Bacillus cereus	4882376	4897105	Islander
NC_016771.1	Bacillus cereus	4833806	4849071	Islander
NC_006582.1	Bacillus clausii	1450846	1492307	Islander
NC_002570.2	Bacillus halodurans	3617744	3652267	Islander
NC_006322.1	Bacillus licheniformis	3424384	3469176	Islander
NC_006270.3	Bacillus licheniformis	3424532	3469324	Islander
NC_017138.1	Bacillus megaterium	2625377	2638807	Islander
NC_013791.2	Bacillus pseudofirmus	3163111	3179735	Islander
NC_017743.1	Bacillus sp.	526205	554801	Islander
NC_000964.3	Bacillus subtilis	529370	549880	Islander
NC_016047.1	Bacillus subtilis	165976	220837	Islander
NC_016047.1	Bacillus subtilis	220838	281314	Islander
NC_017208.1	Bacillus thuringiensis serovar chinensis CT-43	4464506	4479822	Islander
NC_018500.1	Bacillus thuringiensis	2802415	2816019	Islander
NC_018500.1	Bacillus thuringiensis	4501674	4540397	Islander
NC_018693.1	Bacillus thuringiensis	475694	482276	Islander
NC_018877.1	Bacillus thuringiensis	4477799	4493115	Islander
NC_006347.1	Bacteroides fragilis	1584911	1627589	Islander
NC_006347.1	Bacteroides fragilis	2306698	2330051	Islander
NC_006347.1	Bacteroides fragilis	2410356	2420116	Islander
NC_006347.1	Bacteroides fragilis	2681746	2726406	Islander
NC_006347.1	Bacteroides fragilis	3956408	3972910	Islander
NC_006347.1	Bacteroides fragilis	4916355	4919409	Islander
NC_006347.1	Bacteroides fragilis	750360	770197	Islander
NC_003228.3	Bacteroides fragilis	1482699	1588874	Islander
NC_003228.3	Bacteroides fragilis	2466325	2476223	Islander
NC_003228.3	Bacteroides fragilis	2677278	2724804	Islander
NC_003228.3	Bacteroides fragilis	2796524	2837628	Islander
NC_014933.1	Bacteroides helcogenes	1100384	1114426	Islander
NC_014933.1	Bacteroides helcogenes	2221665	2239154	Islander
NC_014933.1	Bacteroides helcogenes	2899540	2942157	Islander
NC_014933.1	Bacteroides helcogenes	3180811	3207004	Islander
NC_014933.1	Bacteroides helcogenes	3207005	3220944	Islander
NC_014933.1	Bacteroides helcogenes	3773527	3788971	Islander
NC_015164.1	Bacteroides salanitronis	1375932	1382159	Islander
NC_015164.1	Bacteroides salanitronis	2081222	2091739	Islander
NC_015164.1	Bacteroides salanitronis	2452389	2507933	Islander
NC_015164.1	Bacteroides salanitronis	2875322	2890593	Islander
NC_015164.1	Bacteroides salanitronis	3682417	3795379	Islander
NC_004663.1	Bacteroides thetaiotaomicron	1144724	1163501	Islander
NC_004663.1	Bacteroides thetaiotaomicron	2857570	2917811	Islander
NC_004663.1	Bacteroides thetaiotaomicron	3214472	3304943	Islander
NC_004663.1	Bacteroides thetaiotaomicron	3757471	3768314	Islander
NC_004663.1	Bacteroides thetaiotaomicron	3768315	3787143	Islander
NC_004663.1	Bacteroides thetaiotaomicron	5222667	5248567	Islander
NC_004663.1	Bacteroides thetaiotaomicron	6217231	72900	Islander
NC_009614.1	Bacteroides vulgatus	1988538	2084779	Islander
NC_009614.1	Bacteroides vulgatus	2197256	2240195	Islander
NC_009614.1	Bacteroides vulgatus	2710338	2819181	Islander
NC_009614.1	Bacteroides vulgatus	3943198	3958597	Islander
NC_009614.1	Bacteroides vulgatus	4005191	4018585	Islander
NC_009614.1	Bacteroides vulgatus	920643	1003703	Islander
NC_008783.1	Bartonella bacilliformis	1088964	1101770	Islander
NC_012846.1	Bartonella grahamii	1023982	1070875	Islander
NC_012846.1	Bartonella grahamii	1126450	1161736	Islander
NC_012846.1	Bartonella grahamii	909576	1023981	Islander
NC_005956.1	Bartonella henselae	371282	426123	Islander
NC_010161.1	Bartonella tribocorum	1034819	1191794	Islander
NC_010161.1	Bartonella tribocorum	2236492	2277004	Islander
NC_010161.1	Bartonella tribocorum	375414	423121	Islander
NC_010161.1	Bartonella tribocorum	520569	586925	Islander
NC_010581.1	Beijerinckia indica	3033333	3051460	Islander
NC_018010.1	Belliella baltica	2259801	2288172	Islander
NC_018010.1	Belliella baltica	2960100	2991444	Islander
NC_018010.1	Belliella baltica	3538859	3564177	Islander
NC_018010.1	Belliella baltica	3564267	3574510	Islander
NC_011835.1	Bifidobacterium animalis	819249	826946	Islander
NC_011835.1	Bifidobacterium animalis	971255	979564	Islander
NC_012814.1	Bifidobacterium animalis	1362348	1370657	Islander
NC_012814.1	Bifidobacterium animalis	1688480	1696177	Islander
NC_012815.1	Bifidobacterium animalis	1362281	1370590	Islander
NC_012815.1	Bifidobacterium animalis	1688197	1695894	Islander
NC_017214.1	Bifidobacterium animalis	385634	393331	Islander
NC_017214.1	Bifidobacterium animalis	59950	68259	Islander
NC_017217.1	Bifidobacterium animalis	1367851	1376160	Islander
NC_017217.1	Bifidobacterium animalis	1693766	1701463	Islander
NC_017215.1	Bifidobacterium animalis	1367214	1375523	Islander
NC_017215.1	Bifidobacterium animalis	1693067	1700764	Islander
NC_017216.2	Bifidobacterium animalis	1362208	1370517	Islander
NC_017216.2	Bifidobacterium animalis	1688125	1695822	Islander
NC_017834.1	Bifidobacterium animalis	220083	228437	Islander
NC_017866.1	Bifidobacterium animalis	1362399	1370708	Islander
NC_017866.1	Bifidobacterium animalis	1688316	1696013	Islander
NC_017867.1	Bifidobacterium animalis	1362403	1370712	Islander
NC_017867.1	Bifidobacterium animalis	1688535	1696232	Islander
NC_014638.1	Bifidobacterium bifidum	205914	222672	Islander
NC_017999.1	Bifidobacterium bifidum	1950364	1967834	Islander
NC_017218.1	Bifidobacterium breve	279127	292895	Islander
NC_013714.1	Bifidobacterium dentium	680197	697564	Islander
NC_013714.1	Bifidobacterium dentium	80086	98202	Islander
NC_013714.1	Bifidobacterium dentium	998498	1106916	Islander
NC_004307.2	Bifidobacterium longum	1295532	1312993	Islander
NC_004307.2	Bifidobacterium longum	383092	440085	Islander
NC_010816.1	Bifidobacterium longum	1321206	1358861	Islander
NC_010816.1	Bifidobacterium longum	2142887	2184463	Islander
NC_010816.1	Bifidobacterium longum	416036	474377	Islander
NC_011593.1	Bifidobacterium longum	1956322	1995873	Islander
NC_011593.1	Bifidobacterium longum	343281	352004	Islander
NC_014169.1	Bifidobacterium longum	2019979	2027772	Islander
NC_014169.1	Bifidobacterium longum	236850	250617	Islander
NC_014169.1	Bifidobacterium longum	250618	259177	Islander
NC_017221.1	Bifidobacterium longum	1128493	1146645	Islander
NC_017221.1	Bifidobacterium longum	342936	375370	Islander
NC_017221.1	Bifidobacterium longum	993712	1050217	Islander
NC_017219.1	Bifidobacterium longum	1463288	1526608	Islander
NC_017219.1	Bifidobacterium longum	1956112	1995661	Islander
NC_017219.1	Bifidobacterium longum	343072	351795	Islander
NC_016943.1	Blastococcus saxobsidens	1159760	1174653	Islander
NC_016943.1	Blastococcus saxobsidens	1404172	1467206	Islander
NC_016943.1	Blastococcus saxobsidens	1563565	1632472	Islander
NC_016943.1	Blastococcus saxobsidens	1692029	1726757	Islander
NC_016943.1	Blastococcus saxobsidens	1726758	1879282	Islander
NC_016943.1	Blastococcus saxobsidens	3810228	3835134	Islander
NC_016943.1	Blastococcus saxobsidens	667323	691714	Islander
NC_010645.1	Bordetella avium	1371566	1412706	Islander
NC_010645.1	Bordetella avium	1496606	1536984	Islander
NC_002927.3	Bordetella bronchiseptica	2336414	2376001	Islander
NC_002927.3	Bordetella bronchiseptica	4401850	4410352	Islander
NC_002927.3	Bordetella bronchiseptica	3723872	3763539	Islander
NC_018829.1	Bordetella bronchiseptica	4182164	4192384	Islander
NC_018828.1	Bordetella parapertussis	2253724	2293661	Islander
NC_018828.1	Bordetella parapertussis	3122637	3135005	Islander
NC_018828.1	Bordetella parapertussis	531600	611517	Islander
NC_018828.1	Bordetella parapertussis	1745535	1787180	Islander
NC_010170.1	Bordetella petrii	1033556	1083743	Islander
NC_010170.1	Bordetella petrii	4417754	4576849	Islander
NC_013172.1	Brachybacterium faecium	2732531	2735416	Islander
NC_004463.1	Bradyrhizobium japonicum	1702915	1754690	Islander
NC_004463.1	Bradyrhizobium japonicum	5014739	5023566	Islander
