#ACCESSION	ORGANISM	START	END	SEQUENCE	INSERTION	DETECTION
NZ_LN877293.1	Bacteroides fragilis 86-5443-2-2	1	8600	AY372755_P1	bfmB/bfmC	PAIDB-REI	PMID:9038310,PMID:10542162,PMID:15342577
NZ_LT601384.1	Escherichia coli C1845	1	800	GQ903057	tRNA-asn	PAIDB-REI	
NZ_LT601384.1	Escherichia coli C4737	1	800	GQ903056	tRNA-asn	PAIDB-REI	
NZ_LT601384.1	Escherichia coli COLF6c	1	800	GQ903055	tRNA-asn	PAIDB-REI	
NZ_LT601384.1	Escherichia coli ECOR01	1	400	FJ263556	tRNA-asnT	PAIDB-REI	PMID:19132082
NZ_LT601384.1	Escherichia coli ECOR02	1	800	FJ212160	tRNA-asnT	PAIDB-REI	PMID:19132082
NZ_LT601384.1	Escherichia coli ECOR04	1	400	FJ263563	tRNA-asnT	PAIDB-REI	PMID:19132082
NZ_LT601384.1	Escherichia coli ECOR08	1	800	FJ212159	tRNA-asnT	PAIDB-REI	PMID:19132082
NZ_LT601384.1	Escherichia coli ECOR09	1	800	FJ212158	tRNA-asnT	PAIDB-REI	PMID:19132082
NZ_LT601384.1	Escherichia coli ECOR10	1	800	FJ212157	tRNA-asnT	PAIDB-REI	PMID:19132082
NZ_LT601384.1	Escherichia coli ECOR11	1	800	FJ212156	tRNA-asnT	PAIDB-REI	PMID:19132082
NZ_LT601384.1	Escherichia coli ECOR13	1	400	FJ263562	tRNA-asnT	PAIDB-REI	PMID:19132082
NZ_LT601384.1	Escherichia coli ECOR16	1	800	FJ212155	tRNA-asnT	PAIDB-REI	PMID:19132082
NZ_LT601384.1	Escherichia coli ECOR17	1	400	FJ263561	tRNA-asnT	PAIDB-REI	PMID:19132082
NZ_LT601384.1	Escherichia coli ECOR20	1	400	FJ263560	tRNA-asnT	PAIDB-REI	PMID:19132082
NZ_LT601384.1	Escherichia coli ECOR23	1	400	FJ263559	tRNA-asnT	PAIDB-REI	PMID:19132082
NZ_LT601384.1	Escherichia coli ECOR24	1	800	FJ212154	tRNA-asnT	PAIDB-REI	PMID:19132082
NZ_LT601384.1	Escherichia coli ECOR26	1	400	FJ263558	tRNA-asnT	PAIDB-REI	PMID:19132082
NZ_LT601384.1	Escherichia coli ECOR27	1	400	FJ263557	tRNA-asnT	PAIDB-REI	PMID:19132082
NZ_LT601384.1	Escherichia coli ECOR31	1	40400	AY233333	tRNA-asnV	PAIDB-REI	PMID:14731283
NZ_LT601384.1	Escherichia coli ECOR31	1	800	FJ212153	tRNA-asnT	PAIDB-REI	PMID:19132082
NZ_LT601384.1	Escherichia coli ECOR34	1	400	FJ263564	tRNA-asnT	PAIDB-REI	PMID:19132082
NZ_LT601384.1	Escherichia coli ECOR35	1	800	FJ212152	tRNA-asnT	PAIDB-REI	PMID:19132082
NZ_LT601384.1	Escherichia coli ECOR36	1	800	FJ212151	tRNA-asnT	PAIDB-REI	PMID:19132082
NZ_LT601384.1	Escherichia coli ECOR37	1	400	FJ263555	tRNA-asnT	PAIDB-REI	PMID:19132082
NZ_LT601384.1	Escherichia coli ECOR38	1	800	FJ212150	tRNA-asnT	PAIDB-REI	PMID:19132082
NZ_LT601384.1	Escherichia coli ECOR39	1	800	FJ212149	tRNA-asnT	PAIDB-REI	PMID:19132082
NZ_LT601384.1	Escherichia coli ECOR40	1	800	FJ212148	tRNA-asnT	PAIDB-REI	PMID:19132082
NZ_LT601384.1	Escherichia coli ECOR41	1	800	FJ212147	tRNA-asnT	PAIDB-REI	PMID:19132082
NZ_LT601384.1	Escherichia coli ECOR43_Paris	1	800	FJ212146	tRNA-asnT	PAIDB-REI	PMID:19132082
NZ_LT601384.1	Escherichia coli ECOR45	1	400	FJ263554	tRNA-asnT	PAIDB-REI	PMID:19132082
NZ_LT601384.1	Escherichia coli ECOR46	1	800	FJ212145	tRNA-asnT	PAIDB-REI	PMID:19132082
NZ_LT601384.1	Escherichia coli ECOR47	1	400	FJ263553	tRNA-asnT	PAIDB-REI	PMID:19132082
NZ_LT601384.1	Escherichia coli ECOR48	1	800	FJ212144	tRNA-asnT	PAIDB-REI	PMID:19132082
NZ_LT601384.1	Escherichia coli ECOR49	1	800	FJ212143	tRNA-asnT	PAIDB-REI	PMID:19132082
NZ_LT601384.1	Escherichia coli ECOR50	1	800	FJ212142	tRNA-asnT	PAIDB-REI	PMID:19132082
NZ_LT601384.1	Escherichia coli ECOR51	1	800	FJ212141	tRNA-asnT	PAIDB-REI	PMID:19132082
NZ_LT601384.1	Escherichia coli ECOR52	1	800	FJ212140	tRNA-asnT	PAIDB-REI	PMID:19132082
NZ_LT601384.1	Escherichia coli ECOR52_Paris	1	800	FJ212139	tRNA-asnT	PAIDB-REI	PMID:19132082
NZ_LT601384.1	Escherichia coli ECOR53	1	800	FJ212138	tRNA-asnT	PAIDB-REI	PMID:19132082
NZ_LT601384.1	Escherichia coli ECOR53	1	800	GQ903053	tRNA-asn	PAIDB-REI	
NZ_LT601384.1	Escherichia coli ECOR54	1	800	FJ212137	tRNA-asnT	PAIDB-REI	PMID:19132082
NZ_LT601384.1	Escherichia coli ECOR55	1	800	FJ212136	tRNA-asnT	PAIDB-REI	PMID:19132082
NZ_LT601384.1	Escherichia coli ECOR56	1	800	GQ903052	tRNA-asn	PAIDB-REI	
NZ_LT601384.1	Escherichia coli ECOR56	1	800	FJ212135	tRNA-asnT	PAIDB-REI	PMID:19132082
NZ_LT601384.1	Escherichia coli ECOR57	1	800	FJ212134	tRNA-asnT	PAIDB-REI	PMID:19132082
NZ_LT601384.1	Escherichia coli ECOR57	1	800	GQ903051	tRNA-asn	PAIDB-REI	
NZ_LT601384.1	Escherichia coli ECOR58	1	400	FJ263552	tRNA-asnT	PAIDB-REI	PMID:19132082
NZ_LT601384.1	Escherichia coli ECOR59	1	800	FJ212133	tRNA-asnT	PAIDB-REI	PMID:19132082
NZ_LT601384.1	Escherichia coli ECOR60	1	800	GQ903050	tRNA-asn	PAIDB-REI	
NZ_LT601384.1	Escherichia coli ECOR60	1	800	FJ212132	tRNA-asnT	PAIDB-REI	PMID:19132082
NZ_LT601384.1	Escherichia coli ECOR61	1	800	FJ212131	tRNA-asnT	PAIDB-REI	PMID:19132082
NZ_LT601384.1	Escherichia coli ECOR62	1	800	FJ212130	tRNA-asnT	PAIDB-REI	PMID:19132082
NZ_LT601384.1	Escherichia coli ECOR63	1	800	GQ903060	tRNA-asn	PAIDB-REI	
NZ_LT601384.1	Escherichia coli ECOR63	1	800	FJ212129	tRNA-asnT	PAIDB-REI	PMID:19132082
NZ_LT601384.1	Escherichia coli ECOR64	1	800	FJ212128	tRNA-asnT	PAIDB-REI	PMID:19132082
NZ_LT601384.1	Escherichia coli ECOR65	1	800	FJ212127	tRNA-asnT	PAIDB-REI	PMID:19132082
NZ_LT601384.1	Escherichia coli ECOR66	1	800	FJ212126	tRNA-asnT	PAIDB-REI	PMID:19132082
NZ_LT601384.1	Escherichia coli ECOR68	1	800	FJ212125	tRNA-asnT	PAIDB-REI	PMID:19132082
NZ_LT601384.1	Escherichia coli ECOR68_Paris	1	800	FJ212124	tRNA-asnT	PAIDB-REI	PMID:19132082
NZ_LT601384.1	Escherichia coli ECOR70	1	800	FJ212123	tRNA-asnT	PAIDB-REI	PMID:19132082
NZ_LT601384.1	Escherichia coli ECOR71	1	800	FJ212122	tRNA-asnT	PAIDB-REI	PMID:19132082
NZ_LT601384.1	Escherichia coli ECOR72	1	800	FJ212121	tRNA-asnT	PAIDB-REI	PMID:19132082
NZ_LT601384.1	Escherichia coli iAi62	1	800	GQ903048	tRNA-asn	PAIDB-REI	
NZ_LT601384.1	Escherichia coli iAi72	1	800	GQ903047	tRNA-asn	PAIDB-REI	
NZ_LT601384.1	Escherichia coli iAi73	1	800	GQ903046	tRNA-asn	PAIDB-REI	
NZ_LT601384.1	Escherichia coli iAi74	1	800	GQ903045	tRNA-asn	PAIDB-REI	
NZ_LT601384.1	Escherichia coli IH11128	1	800	GQ903044	tRNA-asn	PAIDB-REI	
NZ_LT601384.1	Escherichia coli J96	1	800	GQ903043	tRNA-asn	PAIDB-REI	
NZ_LT601384.1	Escherichia coli LBC109	1	800	GQ903042	tRNA-asn	PAIDB-REI	
NZ_LT601384.1	Escherichia coli S107	1	800	GQ903041	tRNA-asn	PAIDB-REI	
NZ_LT601384.1	Escherichia coli S108	1	800	GQ903040	tRNA-asn	PAIDB-REI	
NZ_LT601384.1	Escherichia coli VA6	1	800	GQ903039	tRNA-asn	PAIDB-REI	
NZ_LT601384.1	Escherichia coli VA7	1	800	GQ903038	tRNA-asn	PAIDB-REI	
NZ_LT601384.1	Escherichia coli 11128	1	54100	NC_013364_P1	tRNA-pheV	PAIDB-REI	PMID:19815525
NZ_LT601384.1	Escherichia coli 11368	1	58700	NC_013361_P1	tRNA-pheU	PAIDB-REI	PMID:19815525
NZ_LT601384.1	Escherichia coli 12009	1	87400	NC_013353_P1	tRNA-pheV	PAIDB-REI	PMID:19815525
NZ_LT601384.1	Escherichia coli 172	1	2400	AF041809	tRNA-selC	PAIDB-REI	PMID:9675859
NZ_LT601384.1	Escherichia coli 71074	1	44100	GQ338312	-	PAIDB-REI	
NZ_LT601384.1	Escherichia coli 83/39	1	60400	AF453441	tRNA-pheU	PAIDB-REI	PMID:12067342
NZ_LT601384.1	Escherichia coli 84/110-1	1	10700	AF453442	tRNA-pheV	PAIDB-REI	PMID:12067342
NZ_LT601384.1	Escherichia coli AEEC-68.4	1	700	AJ579367	Not published	PAIDB-REI	
NZ_LT601384.1	Escherichia coli AEEC-IH1042j	1	600	AJ579371	Not published	PAIDB-REI	
NZ_LT601384.1	Escherichia coli AEEC-IH1229a	1	700	AJ579306	Not published	PAIDB-REI	
NZ_LT601384.1	Escherichia coli AEEC-IH2498a	1	700	AJ579368	Not published	PAIDB-REI	
NZ_LT601384.1	Escherichia coli AEEC-IH3121a	1	600	AJ579370	Not published	PAIDB-REI	
NZ_LT601384.1	Escherichia coli ATCC43895	1	45300	AF071034	tRNA-selC	PAIDB-REI	PMID:9673266
NZ_LT601384.1	Escherichia coli CPG121	1	1700	DQ007023	Not published	PAIDB-REI	PMID:16272509
NZ_LT601384.1	Escherichia coli CPG122-G57	1	1700	DQ007019	Not published	PAIDB-REI	PMID:16272509
NZ_LT601384.1	Escherichia coli CPG123-G58	1	1700	DQ007022	Not published	PAIDB-REI	PMID:16272509
NZ_LT601384.1	Escherichia coli CPG124-WC416	1	1700	DQ007024	Not published	PAIDB-REI	PMID:16272509
NZ_LT601384.1	Escherichia coli CPG6	1	1700	DQ007020	Not published	PAIDB-REI	PMID:16272509
NZ_LT601384.1	Escherichia coli CPG7	1	1700	DQ007021	Not published	PAIDB-REI	PMID:16272509
NZ_LT601384.1	Escherichia coli E2348/69	1	35600	AF022236	tRNA-selC	PAIDB-REI	PMID:9593291
NZ_LT601384.1	Escherichia coli EPEC-373	1	600	AJ579305	Not published	PAIDB-REI	
NZ_LT601384.1	Escherichia coli EPEC-376	1	600	AJ579369	Not published	PAIDB-REI	
NZ_LT601384.1	Escherichia coli J96	1	1600	AF453829	tRNA-pheU	PAIDB-REI	PMID:12067342
NZ_LT601384.1	Escherichia coli NV92	1	600	AY223511	Not published	PAIDB-REI	PMID:14711626
NZ_LT601384.1	Escherichia coli O157:H7 EDL933	1	42800	NC_002655_P5	tRNA-selC	PAIDB-REI	PMID:11206551
NZ_LT601384.1	Escherichia coli O157:H7 Sakai	1	42800	NC_002695_P2	tRNA-selC	PAIDB-REI	PMID:17967175,PMID:11258796,PMID:11111050,PMID:11108008,PMID:10734605
NZ_LT601384.1	Escherichia coli RDEC-1	1	1700	AF454555	tRNA-pheU	PAIDB-REI	PMID:12067342
NZ_LT601384.1	Escherichia coli RDEC-1	1	37900	AF200363	IS2/lifA	PAIDB-REI	PMID:8900070,PMID:9593291,PMID:11254564
NZ_LT601384.1	Escherichia coli RW1374	1	112900	AJ303141	tRNA-pheV	PAIDB-REI	PMID:11682182,PMID:12635929,PMID:15715170
NZ_LT601384.1	Escherichia coli 413/89-1	1	60100	AJ277443	tRNA-pheU	PAIDB-REI	
NZ_LT601384.1	Escherichia coli B171-8	1	6500	AB016764	potB	PAIDB-REI	PMID:10447884
NZ_LT601384.1	Escherichia coli O157:H7 Sakai	1	27500	NC_002695_P1	tRNA-Gly	PAIDB-REI	PMID:17967175,PMID:11258796,PMID:11111050,PMID:11108008,PMID:10734605
NZ_LT601384.1	Escherichia coli 4797/97	1	37700	AJ278144	tRNA-selC	PAIDB-REI	PMID:11598060
NZ_LT601384.1	Escherichia coli APEC O1	1	15300	NC_008563_P5	metE and ysgA genes of the E. coli K12 genome.	PAIDB-REI	PMID:17293413
NZ_LT601384.1	Escherichia coli C72	1	5500	AB056440	aroP-pdhR locus	PAIDB-REI	PMID:11728718
NZ_LT601384.1	Escherichia coli E25	1	2300	AB056435	aroP-pdhR locus	PAIDB-REI	PMID:11728718
NZ_LT601384.1	Escherichia coli Ec222	1	22100	AY151282	tRNA-thrW	PAIDB-REI	PMID:12933851
NZ_LT601384.1	Escherichia coli P17	1	3300	AB056437	aroP-pdhR locus	PAIDB-REI	PMID:11728718
NZ_LT601384.1	Escherichia coli UMN026	1	57300	NC_011751_P1	tRNA-Phe	PAIDB-REI	PMID:19165319
NZ_LT601384.1	Escherichia coli Z13	1	4000	AB056438	aroP-pdhR locus	PAIDB-REI	PMID:11728718
NZ_LT601384.1	Escherichia coli Z16	1	4000	AB056439	aroP-pdhR locus	PAIDB-REI	PMID:11728718
NZ_LT601384.1	Escherichia coli Z25	1	3300	AB056436	aroP-pdhR locus	PAIDB-REI	PMID:11728718
NZ_LT601384.1	Escherichia coli Z42	1	13200	AB056434	aroP-pdhR locus	PAIDB-REI	PMID:11728718
NZ_LT601384.1	Escherichia coli 11354	1	400	KC576938	-	PAIDB-REI	PMID:23524679
NZ_LT601384.1	Escherichia coli 13844	1	400	KC576948	-	PAIDB-REI	PMID:23524679
NZ_LT601384.1	Escherichia coli 195-1	1	400	KC576949	-	PAIDB-REI	PMID:23524679
NZ_LT601384.1	Escherichia coli 2688	1	400	KC576939	-	PAIDB-REI	PMID:23524679
NZ_LT601384.1	Escherichia coli 359-2	1	400	KC576950	-	PAIDB-REI	PMID:23524679
NZ_LT601384.1	Escherichia coli 419-1	1	400	KC576940	-	PAIDB-REI	PMID:23524679
NZ_LT601384.1	Escherichia coli 4854	1	400	KC576947	-	PAIDB-REI	PMID:23524679
NZ_LT601384.1	Escherichia coli 5545	1	400	KC576946	-	PAIDB-REI	PMID:23524679
NZ_LT601384.1	Escherichia coli 9340	1	400	KC576942	-	PAIDB-REI	PMID:23524679
NZ_LT601384.1	Escherichia coli 94.3024	1	400	KC576943	-	PAIDB-REI	PMID:23524679
NZ_LT601384.1	Escherichia coli 9763	1	400	KC576945	-	PAIDB-REI	PMID:23524679
NZ_LT601384.1	Escherichia coli O157:H7 EDL933	1	22900	NC_002655_P4	tRNA-pheV	PAIDB-REI	PMID:11206551
NZ_LT601384.1	Escherichia coli SJ18	1	400	KC576944	-	PAIDB-REI	PMID:23524679
NZ_LT601384.1	Escherichia coli SJ9	1	400	KC576935	-	PAIDB-REI	PMID:23524679
NZ_LT601384.1	Escherichia coli UMD140	1	400	KC576934	-	PAIDB-REI	PMID:23524679
NZ_LT601384.1	Escherichia coli UMD144	1	400	KC576936	-	PAIDB-REI	PMID:23524679
NZ_LT601384.1	Escherichia coli UMD160	1	400	KC576941	-	PAIDB-REI	PMID:23524679
NZ_LT601384.1	Escherichia coli UMD217	1	400	KC576937	-	PAIDB-REI	PMID:23524679
NZ_LT601384.1	Escherichia coli O157:H7 EDL933	1	9200	NC_002655_P3	-	PAIDB-REI	PMID:11206551
NZ_LT601384.1	Escherichia coli 4787	1	5300	AY560911	tRNA-pheU	PAIDB-REI	PMID:15358417
NZ_LT601384.1	Escherichia coli 536	1	76900	AJ488511	tRNA-selC	PAIDB-REI	PMID:12379716
NZ_LT601384.1	Escherichia coli APEC O1	1	66800	DQ095216	tRNA-pheV	PAIDB-REI	PMID:16369033
NZ_LT601384.1	Escherichia coli APEC O1	1	83600	NC_008563_P4	tRNA-Phe	PAIDB-REI	PMID:17293413
NZ_LT601384.1	Escherichia coli CFT073	1	2000	AF003741	tRNA-pheV	PAIDB-REI	
NZ_LT601384.1	Escherichia coli CFT073	1	44600	NC_004431_P1	tRNA-pheV	PAIDB-REI	PMID:12471157
NZ_LT601384.1	Escherichia coli CL3	1	27300	AY275838	close to a tRNA gene	PAIDB-REI	PMID:14977955
NZ_LT601384.1	Escherichia coli 4787	1	900	AY560913	tRNA-proA/yagU	PAIDB-REI	PMID:15358417
NZ_LT601384.1	Escherichia coli 536	1	102300	AJ494981	tRNA-leuX	PAIDB-REI	PMID:12379716
NZ_LT601384.1	Escherichia coli APEC O1	1	29700	NC_008563_P1	tRNA-Asp	PAIDB-REI	PMID:17293413
NZ_LT601384.1	Escherichia coli CFT073	1	71700	AF447814	tRNA-pheU	PAIDB-REI	PMID:11574920
NZ_LT601384.1	Escherichia coli CFT073	1	58300	NC_004431_P2	tRNA-pheU	PAIDB-REI	PMID:12471157
NZ_LT601384.1	Escherichia coli 536	1	75800	X16664	tRNA-thrW	PAIDB-REI	PMID:11401961,PMID:12379716
NZ_LT601384.1	Escherichia coli APEC O1	1	19300	NC_008563_P2	tRNA-Thr	PAIDB-REI	PMID:17293413
NZ_LT601384.1	Escherichia coli 536	1	4000	AF135406	tRNA-asnT	PAIDB-REI	PMID:10518744
NZ_LT601384.1	Escherichia coli APEC O1	1	77700	NC_008563_P3	tRNA-Asn	PAIDB-REI	PMID:17293413
