#ID	ACCESSION	ORGANISM	START	END	SEQUENCE	INSERTION	REFERENCE	DETECTION
53	NC_004431.1	Escherichia coli CFT073	1397313	1451607			Lloyd et al., 2007 J Bacteriol	
54	NC_002695.1	Escherichia coli O157:H7 str. Sakai	1370456	1456704			Hayashi et al., 2001, DNA Res	
55	NC_008563.1	Escherichia coli APEC O1	4743518	4754943				
56	NC_007946.1	Escherichia coli UTI89	2203972	2215033				
57	NC_002695.1	Escherichia coli O157:H7 str. Sakai	4584154	4615188				
58	NC_008253.1	Escherichia coli 536	3129482	3140899				
59	NC_004722.1	Bacillus cereus ATCC 14579	3132160	3136241				
60	NC_003047.1	Sinorhizobium meliloti 1021	493140	503967				
61	NC_002947.3		4394934	4417945				islandpick=100.0;SIGI-HMM=36.4;Centroid=0.0;DIMOB=49.5;PAI_IDA=0.0;DINUC=49.5;Alien_Hunter=62.0
62	NC_003198.1	Salmonella enterica subsp. enterica serovar Typhi str. CT18	4696670	4705392				
63	NC_003198.1	Salmonella enterica subsp. enterica serovar Typhi str. CT18	2859262	2900586			Parkhill et al., 2001, Nature	
64	NC_008595.1	Mycobacterium avium 104	1977459	1990545				
65	NC_009567.1		739432	750434				islandpick=100.0;SIGI-HMM=47.7;Centroid=96.1;DIMOB=98.6;PAI_IDA=0.0;DINUC=98.6;Alien_Hunter=100.0
66	NC_008061.1	Burkholderia cenocepacia AU 1054 chromosome 2, complete sequence.	1455142	1459779				
67	NC_010612.1	Mycobacterium marinum M	5460061	5470768				
68	NC_009445.1	Bradyrhizobium sp. ORS278	471502	488656				
69	NC_004603.1		1469310	1491871				islandpick=100.0;SIGI-HMM=0.0;Centroid=0.0;DIMOB=0.0;PAI_IDA=0.0;DINUC=0.0;Alien_Hunter=96.8
70	NC_003047.1	Sinorhizobium meliloti 1021	539649	561403				
71	NC_008819.1	Prochlorococcus marinus str. NATL1A	784075	793520				
72	NC_005773.3	Pseudomonas syringae pv. phaseolicola 1448A	186629	191162				
73	NC_007606.1	Shigella dysenteriae Sd197	2211483	2218091				
74	NC_002695.1	Escherichia coli O157:H7 str. Sakai	1337197	1341789				
75	NC_003198.1	Salmonella enterica subsp. enterica serovar Typhi str. CT18	3515470	3550970			Parkhill et al., 2001, Nature	
76	NC_005773.3	Pseudomonas syringae pv. phaseolicola 1448A	5158726	5163442				
77	NC_008061.1	Burkholderia cenocepacia AU 1054 chromosome 2, complete sequence.	1437803	1444887				
78	NC_008060.1	Burkholderia cenocepacia AU 1054 chromosome 1, complete sequence.	1187481	1191727				
79	NC_008600.1		4248144	4259160				islandpick=100.0;SIGI-HMM=0.0;Centroid=0.0;DIMOB=85.7;PAI_IDA=0.0;DINUC=85.7;Alien_Hunter=100.0
80	NC_007778.1		4991621	5003291				islandpick=100.0;SIGI-HMM=0.0;Centroid=0.0;DIMOB=0.0;PAI_IDA=0.0;DINUC=0.0;Alien_Hunter=0.0
81	NC_002516.2	Pseudomonas aeruginosa PAO1	3733087	3745530				
82	NC_004578.1	Pseudomonas syringae pv. tomato str. DC3000	3611051	3621716				
83	NC_007778.1	Rhodopseudomonas palustris HaA2	1838596	1874376				
84	NC_007146.2	Haemophilus influenzae 86-028NP	1408265	1456547				
85	NC_009632.1	Staphylococcus aureus subsp. aureus JH1	1097279	1113909				
86	NC_002695.1	Escherichia coli O157:H7 str. Sakai	3475965	3500163			Hayashi et al., 2001, DNA Res	
87	NC_006155.1		3886164	3917255				islandpick=100.0;SIGI-HMM=0.0;Centroid=0.0;DIMOB=0.0;PAI_IDA=0.0;DINUC=0.0;Alien_Hunter=54.3
88	NC_010322.1		3821573	3838268				islandpick=100.0;SIGI-HMM=36.9;Centroid=0.0;DIMOB=0.0;PAI_IDA=0.0;DINUC=40.9;Alien_Hunter=100.0
89	NC_002655.2		1897667	1923763				islandpick=100.0;SIGI-HMM=0.0;Centroid=0.0;DIMOB=23.8;PAI_IDA=0.0;DINUC=52.5;Alien_Hunter=84.8
90	NC_010167.1	Brucella suis ATCC 23445 chromosome II, complete sequence.	1076432	1082788				
91	NC_010515.1	Burkholderia cenocepacia MC0-3 chromosome 2, complete sequence.	945626	949980				
92	NC_008595.1	Mycobacterium avium 104	2257389	2268383				
93	NC_007946.1	Escherichia coli UTI89	2114001	2164474				
94	NC_008258.1	Shigella flexneri 5 str. 8401	3957209	3967089				
95	NC_010498.1	Escherichia coli SECEC SMS-3-5	2273966	2279433				
96	NC_009085.1		3393606	3404662				islandpick=100.0;SIGI-HMM=0.0;Centroid=0.0;DIMOB=0.0;PAI_IDA=0.0;DINUC=59.3;Alien_Hunter=46.3
97	NC_009708.1		2519360	2540421				islandpick=100.0;SIGI-HMM=10.6;Centroid=0.0;DIMOB=0.0;PAI_IDA=0.0;DINUC=53.0;Alien_Hunter=29.2
98	NC_010498.1	Escherichia coli SECEC SMS-3-5	4896387	4906961				
99	NC_009074.1	Burkholderia pseudomallei 668 chromosome I, complete sequence.	3155504	3160561				
100	NC_010501.1		2520164	2534478				islandpick=100.0;SIGI-HMM=97.9;Centroid=82.7;DIMOB=88.7;PAI_IDA=100.0;DINUC=88.7;Alien_Hunter=100.0
101	NC_004578.1	Pseudomonas syringae pv. tomato str. DC3000	4580216	4588422				
102	NC_009076.1	Burkholderia pseudomallei 1106a chromosome I, complete sequence.	2104326	2110654				
103	NC_009445.1		848939	862182				islandpick=100.0;SIGI-HMM=43.9;Centroid=53.3;DIMOB=0.0;PAI_IDA=100.0;DINUC=23.8;Alien_Hunter=64.7
104	NC_007761.1	Rhizobium etli CFN 42	2108985	2113227				
105	NC_010159.1	Yersinia pestis Angola	3724826	3729544				
106	NC_002695.1	Escherichia coli O157:H7 str. Sakai	2668007	2712035			Hayashi et al., 2001, DNA Res	
107	NC_002695.1	Escherichia coli O157:H7 str. Sakai	300041	310626			Hayashi et al., 2001, DNA Res	
108	NC_008061.1		2144915	2158788				islandpick=100.0;SIGI-HMM=2.0;Centroid=5.7;DIMOB=0.0;PAI_IDA=63.3;DINUC=0.0;Alien_Hunter=70.0
109	NC_008322.1	Shewanella sp. MR-7	3388775	3397371				
110	NC_004431.1	Escherichia coli CFT073	2748381	2756698				
111	NC_004578.1	Pseudomonas syringae pv. tomato str. DC3000	2566648	2581182				
112	NC_006350.1	Burkholderia pseudomallei K96243 chromosome 1, complete sequence.	2016955	2025563				
113	NC_008577.1	Shewanella sp. ANA-3 chromosome 1, complete sequence.	1471752	1503681				
114	NC_007005.1	Pseudomonas syringae pv. syringae B728a	3424736	3429865				
115	NC_007946.1	Escherichia coli UTI89	2173277	2179575				
116	NC_004603.1	Vibrio parahaemolyticus RIMD 2210633 chromosome I, complete sequence.	1449941	1457129				
117	NC_009076.1	Burkholderia pseudomallei 1106a chromosome I, complete sequence.	2541823	2555126				
118	NC_008322.1	Shewanella sp. MR-7	2494720	2509929				
119	NC_002695.1	Escherichia coli O157:H7 str. Sakai	3866046	3874934				
120	NC_007530.2	Bacillus anthracis str. Ames Ancestor	2330076	2335431				
121	NC_006905.1	Salmonella enterica subsp. enterica serovar Choleraesuis str. SC-B67	1334961	1347690				
122	NC_008595.1	Mycobacterium avium 104	2220301	2230953				
123	NC_004578.1	Pseudomonas syringae pv. tomato str. DC3000	5921984	5932804				
124	NC_010410.1	Acinetobacter baumannii AYE	1913381	1923227				
125	NC_009076.1	Burkholderia pseudomallei 1106a chromosome I, complete sequence.	1532503	1539696				
126	NC_009485.1	Bradyrhizobium sp. BTAi1	1115596	1124611				
127	NC_008061.1	Burkholderia cenocepacia AU 1054 chromosome 2, complete sequence.	2108148	2127801				
128	NC_008577.1		1471752	1483332				islandpick=100.0;SIGI-HMM=100.0;Centroid=97.8;DIMOB=100.0;PAI_IDA=100.0;DINUC=100.0;Alien_Hunter=100.0
129	NC_004578.1	Pseudomonas syringae pv. tomato str. DC3000	4065730	4079860				
130	NC_009438.1	Shewanella putrefaciens CN-32	4417987	4424415				
131	NC_002947.3		2179371	2193934				islandpick=100.0;SIGI-HMM=100.0;Centroid=100.0;DIMOB=100.0;PAI_IDA=100.0;DINUC=100.0;Alien_Hunter=100.0
132	NC_009512.1	Pseudomonas putida F1	1032368	1040723				
133	NC_004088.1	Yersinia pestis KIM	3766806	3774004				
134	NC_008563.1	Escherichia coli APEC O1	3315878	3328373				
135	NC_003198.1	Salmonella enterica subsp. enterica serovar Typhi str. CT18	3523214	3527482				
136	NC_008563.1	Escherichia coli APEC O1	1216623	1220647				
137	NC_004631.1	Salmonella enterica subsp. enterica serovar Typhi Ty2	1657682	1661742				
138	NC_007761.1	Rhizobium etli CFN 42	801650	821709				
139	NC_007651.1	Burkholderia thailandensis E264 chromosome I, complete sequence.	3723278	3731589				
140	NC_007510.1	Burkholderia sp. 383 chromosome 1, complete sequence.	3513004	3519576				
141	NC_010167.1	Brucella suis ATCC 23445 chromosome II, complete sequence.	947540	956649				
142	NC_010515.1	Burkholderia cenocepacia MC0-3 chromosome 2, complete sequence.	256691	264423				
143	NC_009879.1	Rickettsia canadensis str. McKiel	495692	505731				
144	NC_010515.1		1644979	1671729				islandpick=100.0;SIGI-HMM=100.0;Centroid=26.2;DIMOB=100.0;PAI_IDA=74.8;DINUC=100.0;Alien_Hunter=100.0
145	NC_010515.1	Burkholderia cenocepacia MC0-3 chromosome 2, complete sequence.	1125598	1139361				
146	NC_010612.1		1736043	1757046				islandpick=100.0;SIGI-HMM=0.0;Centroid=0.0;DIMOB=66.4;PAI_IDA=0.0;DINUC=66.4;Alien_Hunter=28.5
147	NC_007651.1		3133521	3148739				islandpick=100.0;SIGI-HMM=57.0;Centroid=70.6;DIMOB=100.0;PAI_IDA=100.0;DINUC=100.0;Alien_Hunter=100.0
148	NC_009997.1	Shewanella baltica OS195	2664070	2707192				
149	NC_004603.1	Vibrio parahaemolyticus RIMD 2210633 chromosome I, complete sequence.	92601	102006			Boyd et al., 2008, BMC Microbiology	
150	NC_008595.1		1422167	1441405				islandpick=100.0;SIGI-HMM=100.0;Centroid=0.0;DIMOB=52.7;PAI_IDA=100.0;DINUC=52.7;Alien_Hunter=100.0
151	NC_004578.1	Pseudomonas syringae pv. tomato str. DC3000	2813930	2823742				
152	NC_003198.1	Salmonella enterica subsp. enterica serovar Typhi str. CT18	1538737	1573006				
153	NC_009512.1	Pseudomonas putida F1	2191459	2198524				
154	NC_010084.1	Burkholderia multivorans ATCC 17616 chromosome 1, complete sequence.	2830755	2853185				
155	NC_007761.1	Rhizobium etli CFN 42	607946	618541				
156	NC_008595.1	Mycobacterium avium 104	3916336	3923429				
157	NC_002944.2	Mycobacterium avium subsp. paratuberculosis K-10	4089481	4093798				
158	NC_009445.1	Bradyrhizobium sp. ORS278	4555015	4596602				
159	NC_010551.1	Burkholderia ambifaria MC40-6 chromosome 1, complete sequence.	1817177	1824021				
160	NC_007005.1		5135290	5151222				islandpick=100.0;SIGI-HMM=30.7;Centroid=0.0;DIMOB=0.0;PAI_IDA=7.7;DINUC=25.7;Alien_Hunter=100.0
161	NC_002695.1	Escherichia coli O157:H7 str. Sakai	5347085	5357319			Hayashi et al., 2001, DNA Res	
162	NC_008390.1	Burkholderia cepacia AMMD chromosome 1, complete sequence.	3090923	3097265				
163	NC_003923.1	Staphylococcus aureus subsp. aureus MW2	1536219	1556315				
164	NC_009485.1	Bradyrhizobium sp. BTAi1	8209353	8217271				
165	NC_009801.1	Escherichia coli E24377A	2172995	2221291				
166	NC_010551.1	Burkholderia ambifaria MC40-6 chromosome 1, complete sequence.	2014987	2020991				
167	NC_009445.1	Bradyrhizobium sp. ORS278	2378488	2388700				
168	NC_008253.1		3991068	4001865				islandpick=100.0;SIGI-HMM=84.2;Centroid=91.4;DIMOB=100.0;PAI_IDA=100.0;DINUC=100.0;Alien_Hunter=100.0
169	NC_010322.1	Pseudomonas putida GB-1	3709615	3717895				
170	NC_009783.1	Vibrio harveyi ATCC BAA-1116 chromosome I, complete sequence.	1945714	1963089				
171	NC_002947.3		2990014	2999149				islandpick=100.0;SIGI-HMM=0.0;Centroid=0.0;DIMOB=0.0;PAI_IDA=0.0;DINUC=0.0;Alien_Hunter=26.1
172	NC_007434.1	Burkholderia pseudomallei 1710b chromosome I, complete sequence.	2518485	2523474				
173	NC_008600.1		2363552	2374699				islandpick=100.0;SIGI-HMM=19.6;Centroid=100.0;DIMOB=100.0;PAI_IDA=0.0;DINUC=100.0;Alien_Hunter=99.9
174	NC_005773.3	Pseudomonas syringae pv. phaseolicola 1448A	925702	931334				
175	NC_004431.1	Escherichia coli CFT073	3428529	3441583				
176	NC_008061.1	Burkholderia cenocepacia AU 1054 chromosome 2, complete sequence.	1720632	1724936				
177	NC_007946.1	Escherichia coli UTI89	5005362	5025750				
178	NC_010167.1	Brucella suis ATCC 23445 chromosome II, complete sequence.	1124719	1161178				
179	NC_004431.1	Escherichia coli CFT073	2218378	2250547			Lloyd et al., 2007 J Bacteriol	
180	NC_006350.1	Burkholderia pseudomallei K96243 chromosome 1, complete sequence.	1966640	1971781				
181	NC_010322.1	Pseudomonas putida GB-1	3767423	3777159				
182	NC_007946.1	Escherichia coli UTI89	1080973	1094315				
183	NC_008060.1	Burkholderia cenocepacia AU 1054 chromosome 1, complete sequence.	982729	998390				
184	NC_010612.1	Mycobacterium marinum M	2568930	2576299				
185	NC_008253.1	Escherichia coli 536	3198874	3206878				
186	NC_008577.1	Shewanella sp. ANA-3 chromosome 1, complete sequence.	4626168	4641082				
187	NC_009665.1		2492828	2501913				islandpick=100.0;SIGI-HMM=30.2;Centroid=0.0;DIMOB=0.0;PAI_IDA=0.0;DINUC=0.0;Alien_Hunter=100.0
188	NC_003997.3	Bacillus anthracis str. Ames	472370	483188				
189	NC_009485.1		3530060	3542936				islandpick=100.0;SIGI-HMM=0.0;Centroid=0.0;DIMOB=0.0;PAI_IDA=0.0;DINUC=0.0;Alien_Hunter=98.0
190	NC_010515.1		1677815	1698147				islandpick=100.0;SIGI-HMM=83.0;Centroid=49.9;DIMOB=100.0;PAI_IDA=89.2;DINUC=100.0;Alien_Hunter=100.0
191	NC_007761.1	Rhizobium etli CFN 42	1874396	1879378				
192	NC_009074.1	Burkholderia pseudomallei 668 chromosome I, complete sequence.	3174516	3186911				
193	NC_007434.1		2419343	2428357				islandpick=100.0;SIGI-HMM=0.0;Centroid=0.0;DIMOB=0.0;PAI_IDA=7.3;DINUC=0.0;Alien_Hunter=36.8
194	NC_004631.1		1421251	1441929				islandpick=100.0;SIGI-HMM=14.5;Centroid=0.0;DIMOB=99.2;PAI_IDA=0.0;DINUC=99.2;Alien_Hunter=98.6
195	NC_007434.1	Burkholderia pseudomallei 1710b chromosome I, complete sequence.	3970973	3975561				
196	NC_009997.1	Shewanella baltica OS195	716705	755498				
197	NC_009512.1	Pseudomonas putida F1	2397379	2404180				
198	NC_003198.1	Salmonella enterica subsp. enterica serovar Typhi str. CT18	1625241	1664710			Parkhill et al., 2001, Nature	
199	NC_007958.1		1676746	1690493				islandpick=100.0;SIGI-HMM=0.0;Centroid=0.0;DIMOB=0.0;PAI_IDA=0.0;DINUC=94.7;Alien_Hunter=32.0
200	NC_002695.1	Escherichia coli O157:H7 str. Sakai	1560292	1586035				
201	NC_004606.1	Streptococcus pyogenes SSI-1	1122488	1135939				
202	NC_008563.1	Escherichia coli APEC O1	347031	353032				
203	NC_002516.2	Pseudomonas aeruginosa PAO1	2294632	2306828				
204	NC_009256.1		3553658	3578111				islandpick=100.0;SIGI-HMM=93.0;Centroid=66.8;DIMOB=100.0;PAI_IDA=87.3;DINUC=100.0;Alien_Hunter=100.0
205	NC_002655.2		4654757	4675862				islandpick=100.0;SIGI-HMM=83.5;Centroid=27.8;DIMOB=3.2;PAI_IDA=98.8;DINUC=74.7;Alien_Hunter=87.5
206	NC_007432.1	Streptococcus agalactiae A909	242377	249042				
207	NC_009438.1	Shewanella putrefaciens CN-32	1355766	1364379				
208	NC_004368.1	Streptococcus agalactiae NEM316	1382305	1421921				
209	NC_007946.1	Escherichia coli UTI89	2909588	2922253				
210	NC_010612.1	Mycobacterium marinum M	4692635	4708008				
211	NC_010465.1		2545879	2562027				islandpick=100.0;SIGI-HMM=0.0;Centroid=0.0;DIMOB=0.0;PAI_IDA=0.0;DINUC=34.6;Alien_Hunter=0.0
212	NC_007946.1	Escherichia coli UTI89	4919661	4940004				
213	NC_010501.1	Pseudomonas putida W619	2588691	2618200				
214	NC_010167.1	Brucella suis ATCC 23445 chromosome II, complete sequence.	912448	917417				
215	NC_007778.1	Rhodopseudomonas palustris HaA2	3470583	3488125				
216	NC_009080.1	Burkholderia mallei NCTC 10247 chromosome I, complete sequence.	2138186	2147536				
217	NC_008061.1	Burkholderia cenocepacia AU 1054 chromosome 2, complete sequence.	1063119	1067912				
218	NC_009485.1	Bradyrhizobium sp. BTAi1	638299	646430				
219	NC_007958.1	Rhodopseudomonas palustris BisB5	1737603	1743328				
220	NC_010322.1	Pseudomonas putida GB-1	2454365	2459229				
221	NC_004431.1	Escherichia coli CFT073	3406498	3529292			Lloyd et al., 2007 J Bacteriol	
222	NC_009783.1	Vibrio harveyi ATCC BAA-1116 chromosome I, complete sequence.	1965518	1996774				
223	NC_004347.1		2428053	2437847				islandpick=100.0;SIGI-HMM=0.0;Centroid=0.0;DIMOB=0.0;PAI_IDA=0.0;DINUC=0.0;Alien_Hunter=0.0
224	NC_003197.1		991551	1002020				islandpick=100.0;SIGI-HMM=15.5;Centroid=0.0;DIMOB=0.0;PAI_IDA=0.0;DINUC=100.0;Alien_Hunter=100.0
225	NC_005071.1	Prochlorococcus marinus str. MIT 9313	91445	111704				
226	NC_010498.1	Escherichia coli SECEC SMS-3-5	3210016	3215408				
227	NC_007651.1	Burkholderia thailandensis E264 chromosome I, complete sequence.	2651834	2659343				
228	NC_009997.1	Shewanella baltica OS195	5216014	5222776				
229	NC_009783.1	Vibrio harveyi ATCC BAA-1116 chromosome I, complete sequence.	1746582	1758323				
230	NC_004431.1	Escherichia coli CFT073	1328014	1372494			Lloyd et al., 2007 J Bacteriol	
231	NC_009052.1	Shewanella baltica OS155	707425	712852				
232	NC_009997.1	Shewanella baltica OS195	2078845	2090633				
233	NC_008390.1	Burkholderia cepacia AMMD chromosome 1, complete sequence.	3352178	3358951				
234	NC_010465.1	Yersinia pseudotuberculosis YPIII	2507638	2519337				
235	NC_002516.2	Pseudomonas aeruginosa PAO1	1311423	1324821				
236	NC_009485.1	Bradyrhizobium sp. BTAi1	6851102	6898434				
237	NC_010551.1	Burkholderia ambifaria MC40-6 chromosome 1, complete sequence.	1386929	1394785				
238	NC_009076.1	Burkholderia pseudomallei 1106a chromosome I, complete sequence.	2036223	2065739				
239	NC_002516.2	Pseudomonas aeruginosa PAO1	2765408	2779414				
240	NC_007651.1	Burkholderia thailandensis E264 chromosome I, complete sequence.	1038008	1047515				
241	NC_010322.1	Pseudomonas putida GB-1	5304427	5308628				
242	NC_008463.1	Pseudomonas aeruginosa UCBPP-PA14	1811827	1817200				
243	NC_007510.1	Burkholderia sp. 383 chromosome 1, complete sequence.	1889923	1899727				
244	NC_009074.1	Burkholderia pseudomallei 668 chromosome I, complete sequence.	2124811	2128961				
245	NC_008061.1	Burkholderia cenocepacia AU 1054 chromosome 2, complete sequence.	1332494	1346479				
246	NC_007651.1	Burkholderia thailandensis E264 chromosome I, complete sequence.	2018219	2035428				
247	NC_008750.1		1231170	1260648				islandpick=100.0;SIGI-HMM=24.7;Centroid=9.0;DIMOB=100.0;PAI_IDA=19.2;DINUC=100.0;Alien_Hunter=100.0
248	NC_004741.1	Shigella flexneri 2a str. 2457T	3938913	3946488				
249	NC_002695.1	Escherichia coli O157:H7 str. Sakai	891123	929708			Hayashi et al., 2001, DNA Res	
250	NC_008563.1	Escherichia coli APEC O1	3344006	3349090				
251	NC_008463.1	Pseudomonas aeruginosa UCBPP-PA14	4313536	4326925				
252	NC_006350.1	Burkholderia pseudomallei K96243 chromosome 1, complete sequence.	1973140	1978317				
253	NC_010551.1	Burkholderia ambifaria MC40-6 chromosome 1, complete sequence.	7237	18521				
254	NC_008463.1		1801156	1811032				islandpick=100.0;SIGI-HMM=0.0;Centroid=0.0;DIMOB=0.0;PAI_IDA=0.0;DINUC=0.0;Alien_Hunter=0.0
255	NC_007761.1	Rhizobium etli CFN 42	1110338	1125822				
256	NC_007958.1	Rhodopseudomonas palustris BisB5	415639	424369				
257	NC_008061.1	Burkholderia cenocepacia AU 1054 chromosome 2, complete sequence.	1586947	1592949				
258	NC_009438.1	Shewanella putrefaciens CN-32	2335627	2339869				
259	NC_009445.1	Bradyrhizobium sp. ORS278	886679	890970				
260	NC_008600.1	Bacillus thuringiensis str. Al Hakam	2363552	2374700				
261	NC_009342.1	Corynebacterium glutamicum R	3167618	3177659				
262	NC_009485.1	Bradyrhizobium sp. BTAi1	3546497	3552192				
263	NC_007958.1	Rhodopseudomonas palustris BisB5	1181076	1185377				
264	NC_004088.1	Yersinia pestis KIM	2436739	2441291				
265	NC_005773.3	Pseudomonas syringae pv. phaseolicola 1448A	2527245	2536030				
266	NC_008463.1	Pseudomonas aeruginosa UCBPP-PA14	4751218	4757183				
267	NC_010612.1	Mycobacterium marinum M	1916578	1923610				
268	NC_006350.1	Burkholderia pseudomallei K96243 chromosome 1, complete sequence.	118727	123532				
269	NC_004578.1	Pseudomonas syringae pv. tomato str. DC3000	2642872	2654378				
270	NC_009567.1		758060	766848				islandpick=100.0;SIGI-HMM=11.9;Centroid=0.0;DIMOB=95.6;PAI_IDA=0.0;DINUC=95.6;Alien_Hunter=100.0
271	NC_009665.1	Shewanella baltica OS185	722194	733069				
272	NC_010501.1	Pseudomonas putida W619	4793679	4800542				
273	NC_005139.1	Vibrio vulnificus YJ016 chromosome I, complete sequence.	2249493	2256660				
